,,1,2,3,4,cra,1p,2p,3p,4p
-122.35957900000001,47.698699,27,39,1,0,Greenwood/Phinney Ridge,0.40298507462686567,0.582089552238806,0.014925373134328358,0.0
-122.29701000000001,47.629,11,22,3,0,Montlake/Portage Bay,0.3055555555555556,0.6111111111111112,0.08333333333333333,0.0
-122.301123,47.603136,44,39,4,0,Central Area/Squire Park,0.5057471264367817,0.4482758620689655,0.04597701149425287,0.0
-122.31755,47.627629,36,118,4,2,North Capitol Hill,0.225,0.7375,0.025,0.0125
-122.29018500000001,47.701419,5,8,0,0,Wedgwood/View Ridge,0.38461538461538464,0.6153846153846154,0.0,0.0
-122.383423,47.697188,12,12,1,0,North Beach/Blue Ridge,0.48,0.48,0.04,0.0
-122.33478799999999,47.583420000000004,17,13,0,0,Duwamish/SODO,0.5666666666666667,0.43333333333333335,0.0,0.0
-122.329314,47.559209,35,32,0,1,Duwamish/SODO,0.5147058823529411,0.47058823529411764,0.0,0.014705882352941176
-122.392035,47.632665,10,13,1,0,Magnolia,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.0
-122.28683899999999,47.532019,17,11,0,0,South Beacon Hill/NewHolly,0.6071428571428571,0.39285714285714285,0.0,0.0
-122.31983100000001,47.577546999999996,37,22,0,0,Duwamish/SODO,0.6271186440677966,0.3728813559322034,0.0,0.0
-122.360129,47.559453999999995,6,8,0,0,North Delridge,0.42857142857142855,0.5714285714285714,0.0,0.0
-122.28743999999999,47.669616,28,41,3,0,Ravenna/Bryant,0.3888888888888889,0.5694444444444444,0.041666666666666664,0.0
-122.352313,47.652396,41,92,5,4,Fremont,0.2887323943661972,0.647887323943662,0.035211267605633804,0.028169014084507043
-122.33418600000002,47.680326,20,37,3,0,Green Lake,0.3333333333333333,0.6166666666666667,0.05,0.0
-122.29783799999998,47.548231,23,29,1,0,Beacon Hill,0.4339622641509434,0.5471698113207547,0.018867924528301886,0.0
-122.32445,47.565759,26,17,0,1,Duwamish/SODO,0.5909090909090909,0.38636363636363635,0.0,0.022727272727272728
-122.38193000000001,47.532979,14,9,0,0,Roxhill/Westwood,0.6086956521739131,0.391304347826087,0.0,0.0
-122.276094,47.551107,41,46,1,0,Columbia City,0.4659090909090909,0.5227272727272727,0.011363636363636364,0.0
-122.35891000000001,47.683359,33,60,3,0,Greenwood/Phinney Ridge,0.34375,0.625,0.03125,0.0
-122.30240900000001,47.633453,15,36,3,0,Montlake/Portage Bay,0.2777777777777778,0.6666666666666666,0.05555555555555555,0.0
-122.304705,47.65637,81,68,0,0,University District,0.5436241610738255,0.4563758389261745,0.0,0.0
-122.373232,47.580562,18,27,2,0,North Delridge,0.3829787234042553,0.574468085106383,0.0425531914893617,0.0
-122.352906,47.620703999999996,39,115,6,5,Queen Anne,0.23636363636363636,0.696969696969697,0.03636363636363636,0.030303030303030304
-122.32221200000001,47.586345,58,58,0,0,Duwamish/SODO,0.5,0.5,0.0,0.0
-122.397129,47.547349,14,11,0,0,Fauntleroy/Seaview,0.56,0.44,0.0,0.0
-122.397058,47.69625,4,3,1,0,North Beach/Blue Ridge,0.5,0.375,0.125,0.0
-122.30891899999999,47.535689,13,14,0,0,Georgetown,0.48148148148148145,0.5185185185185185,0.0,0.0
-122.389896,47.678163,58,84,2,0,Sunset Hill/Loyal Heights,0.4027777777777778,0.5833333333333334,0.013888888888888888,0.0
-122.355399,47.547047,10,3,0,0,Riverview,0.7692307692307693,0.23076923076923078,0.0,0.0
-122.379221,47.706754,5,3,0,0,North Beach/Blue Ridge,0.625,0.375,0.0,0.0
-122.34223100000001,47.550373,18,7,0,0,Riverview,0.72,0.28,0.0,0.0
-122.38541299999999,47.64967,17,24,1,0,Interbay,0.40476190476190477,0.5714285714285714,0.023809523809523808,0.0
-122.39061799999999,47.551652000000004,30,44,4,0,Fauntleroy/Seaview,0.38461538461538464,0.5641025641025641,0.05128205128205128,0.0
-122.31463400000001,47.725065,13,9,0,0,Olympic Hills/Victory Heights,0.5909090909090909,0.4090909090909091,0.0,0.0
-122.305049,47.640903,4,7,0,0,Montlake/Portage Bay,0.36363636363636365,0.6363636363636364,0.0,0.0
-122.369699,47.554859,10,10,0,0,North Delridge,0.5,0.5,0.0,0.0
-122.326104,47.579004,26,20,0,0,Duwamish/SODO,0.5652173913043478,0.43478260869565216,0.0,0.0
-122.325722,47.725984999999994,10,5,0,0,Haller Lake,0.6666666666666666,0.3333333333333333,0.0,0.0
-122.333422,47.528923,3,3,0,0,South Park,0.5,0.5,0.0,0.0
-122.304153,47.563584999999996,20,14,0,0,North Beacon Hill/Jefferson Park,0.5882352941176471,0.4117647058823529,0.0,0.0
-122.324799,47.530902000000005,14,10,0,0,South Park,0.5833333333333334,0.4166666666666667,0.0,0.0
-122.375398,47.564462,32,51,4,0,North Delridge,0.367816091954023,0.5862068965517241,0.04597701149425287,0.0
-122.35306899999999,47.675446,29,49,2,0,Greenwood/Phinney Ridge,0.3625,0.6125,0.025,0.0
-122.402294,47.683262,4,7,1,0,Sunset Hill/Loyal Heights,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0
-122.365654,47.647649,34,61,2,2,Queen Anne,0.3434343434343434,0.6161616161616161,0.020202020202020204,0.020202020202020204
-122.36821100000002,47.648171000000005,29,49,2,2,Queen Anne,0.35365853658536583,0.5975609756097561,0.024390243902439025,0.024390243902439025
-122.38733300000001,47.65038,20,26,2,0,Interbay,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.0
-122.30231699999999,47.661628,86,76,3,0,Ravenna/Bryant,0.5212121212121212,0.46060606060606063,0.01818181818181818,0.0
-122.304548,47.602052,57,55,5,0,Central Area/Squire Park,0.48717948717948717,0.4700854700854701,0.042735042735042736,0.0
-122.392176,47.647628999999995,19,24,1,0,Magnolia,0.4318181818181818,0.5454545454545454,0.022727272727272728,0.0
-122.308452,47.542117,13,20,0,1,Georgetown,0.38235294117647056,0.5882352941176471,0.0,0.029411764705882353
-122.346653,47.695617,39,53,2,0,Licton Springs,0.4148936170212766,0.5638297872340425,0.02127659574468085,0.0
-122.31979799999999,47.606916999999996,53,124,10,3,First Hill,0.2789473684210526,0.6526315789473685,0.05263157894736842,0.015789473684210527
-122.41291499999998,47.666302,2,2,2,0,Magnolia,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
-122.386599,47.556684999999995,34,49,4,0,West Seattle Junction/Genesee Hill,0.39080459770114945,0.5632183908045977,0.04597701149425287,0.0
-122.375394,47.531021,14,6,0,0,Roxhill/Westwood,0.7,0.3,0.0,0.0
-122.398754,47.559684000000004,21,37,5,0,Alki/Admiral,0.3333333333333333,0.5873015873015873,0.07936507936507936,0.0
-122.29801699999999,47.699578,8,9,0,0,Wedgwood/View Ridge,0.47058823529411764,0.5294117647058824,0.0,0.0
-122.39161200000001,47.675326,48,79,2,0,Sunset Hill/Loyal Heights,0.37209302325581395,0.6124031007751938,0.015503875968992248,0.0
-122.391015,47.674443,51,85,2,0,Sunset Hill/Loyal Heights,0.3695652173913043,0.6159420289855072,0.014492753623188406,0.0
-122.328318,47.6842,21,55,4,0,Green Lake,0.2625,0.6875,0.05,0.0
-122.308406,47.548983,19,22,0,1,Beacon Hill,0.4523809523809524,0.5238095238095238,0.0,0.023809523809523808
-122.301134,47.578540999999994,36,22,1,0,North Beacon Hill/Jefferson Park,0.6101694915254238,0.3728813559322034,0.01694915254237288,0.0
