,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,1,2,3,4,GEN_ALIAS,1p,2p,3p,4p,MEDIAN_GROSS_RENT,HU_VALUE_MEDIAN_DOLLARS,MEDIAN_HH_INC_PAST_12MO_DOLLAR
0,0,-122.318147,47.535777,30,24,0,0,Georgetown,0.5555555555555556,0.4444444444444444,0.0,0.0,988,341900,58611
1,1,-122.37898899999999,47.646236,18,18,0,0,Interbay,0.5,0.5,0.0,0.0,1490,571300,74679
2,2,-122.321063,47.627981,38,110,4,3,North Capitol Hill,0.24516129032258066,0.7096774193548387,0.025806451612903226,0.01935483870967742,1576,896200,96220
3,3,-122.28528100000001,47.691914000000004,6,9,0,0,Wedgwood/View Ridge,0.4,0.6,0.0,0.0,1596,628275,114723
4,4,-122.316971,47.633354,23,60,1,2,North Capitol Hill,0.26744186046511625,0.6976744186046512,0.011627906976744186,0.02325581395348837,1576,896200,96220
5,5,-122.303432,47.658390999999995,83,70,0,0,University District,0.5424836601307189,0.457516339869281,0.0,0.0,1199,406150,29215
6,6,-122.35172299999999,47.709778,25,22,0,0,North Beach/Blue Ridge,0.5319148936170213,0.4680851063829787,0.0,0.0,1476,658600,94804
7,7,-122.34691000000001,47.704995000000004,22,21,0,0,Licton Springs,0.5116279069767442,0.4883720930232558,0.0,0.0,1299,426800,80012
8,8,-122.31986,47.716198,29,20,0,0,Haller Lake,0.5918367346938775,0.4081632653061225,0.0,0.0,1265,422600,67317
9,9,-122.31448200000001,47.603347,59,104,5,1,First Hill,0.34911242603550297,0.6153846153846154,0.02958579881656805,0.005917159763313609,1316,445075,57428
10,10,-122.34776299999999,47.535625,8,0,0,0,Riverview,1.0,0.0,0.0,0.0,1487,374000,85885
11,11,-122.389233,47.635575,12,15,1,0,Magnolia,0.42857142857142855,0.5357142857142857,0.03571428571428571,0.0,1950,741650,139671
12,12,-122.32170500000001,47.571383000000004,37,27,0,0,Duwamish/SODO,0.578125,0.421875,0.0,0.0,1445,448800,74696
13,13,-122.28610400000001,47.542336999999996,31,25,0,0,South Beacon Hill/NewHolly,0.5535714285714286,0.44642857142857145,0.0,0.0,1045,344366,51655
14,14,-122.299834,47.566275,28,19,1,0,North Beacon Hill/Jefferson Park,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.0,1058,434500,67657
15,15,-122.32436899999999,47.687844,25,62,4,0,Green Lake,0.27472527472527475,0.6813186813186813,0.04395604395604396,0.0,1804,688066,105587
16,16,-122.38128600000002,47.637264,10,12,1,0,Interbay,0.43478260869565216,0.5217391304347826,0.043478260869565216,0.0,1490,571300,74679
17,17,-122.391199,47.668167,54,80,3,0,Sunset Hill/Loyal Heights,0.39416058394160586,0.583941605839416,0.021897810218978103,0.0,1465,619900,92037
18,18,-122.36394299999999,47.72076,5,8,0,0,Broadview/Bitter Lake,0.38461538461538464,0.6153846153846154,0.0,0.0,1283,484400,77688
19,19,-122.339643,47.57000900000001,24,13,0,0,Duwamish/SODO,0.6486486486486487,0.35135135135135137,0.0,0.0,1445,448800,74696
20,20,-122.297124,47.531973,5,6,0,0,South Beacon Hill/NewHolly,0.4545454545454545,0.5454545454545454,0.0,0.0,1045,344366,51655
21,21,-122.36805,47.52714,30,15,0,0,Roxhill/Westwood,0.6666666666666666,0.3333333333333333,0.0,0.0,1238,347433,67722
22,22,-122.362852,47.564376,9,9,0,0,North Delridge,0.5,0.5,0.0,0.0,1305,368300,75000
23,23,-122.293458,47.640478,6,4,1,0,Montlake/Portage Bay,0.5454545454545454,0.3636363636363637,0.09090909090909093,0.0,1723,821250,132573
24,24,-122.282072,47.62999,5,18,3,0,Madison Park,0.19230769230769232,0.6923076923076923,0.1153846153846154,0.0,1563,1369700,134811
25,25,-122.34731399999998,47.625889,27,103,8,4,Queen Anne,0.19014084507042253,0.7253521126760564,0.056338028169014086,0.028169014084507043,1573,648314,98974
26,26,-122.293669,47.593768,21,17,2,0,Madrona/Leschi,0.525,0.425,0.05,0.0,1549,714750,121549
27,27,-122.337124,47.539588,23,8,0,0,South Park,0.7419354838709677,0.25806451612903225,0.0,0.0,959,287100,35120
28,28,-122.28721200000001,47.67157,28,42,3,0,Ravenna/Bryant,0.3835616438356164,0.5753424657534246,0.0410958904109589,0.0,1503,628160,92464
29,29,-122.312229,47.685168,33,66,5,0,Ravenna/Bryant,0.3173076923076923,0.6346153846153846,0.04807692307692308,0.0,1503,628160,92464
30,30,-122.38595600000001,47.642127,18,24,1,0,Interbay,0.4186046511627907,0.5581395348837209,0.02325581395348837,0.0,1490,571300,74679
31,31,-122.36028799999998,47.56508400000001,6,8,0,0,North Delridge,0.42857142857142855,0.5714285714285714,0.0,0.0,1305,368300,75000
32,32,-122.359305,47.686763,33,56,3,0,Greenwood/Phinney Ridge,0.35869565217391297,0.6086956521739131,0.03260869565217391,0.0,1398,556916,92464
33,33,-122.339772,47.714832,32,20,0,0,Haller Lake,0.6153846153846154,0.38461538461538464,0.0,0.0,1265,422600,67317
34,34,-122.27878899999999,47.636016999999995,4,10,3,0,Madison Park,0.2352941176470588,0.5882352941176471,0.17647058823529413,0.0,1563,1369700,134811
35,35,-122.289158,47.631444,7,22,4,0,Madison Park,0.21212121212121213,0.6666666666666666,0.12121212121212124,0.0,1563,1369700,134811
36,36,-122.394323,47.655867,32,62,2,0,Interbay,0.3333333333333333,0.6458333333333334,0.020833333333333332,0.0,1490,571300,74679
37,37,-122.38793700000001,47.576307,21,43,4,0,West Seattle Junction/Genesee Hill,0.3088235294117647,0.6323529411764706,0.05882352941176471,0.0,1476,542633,99203
38,38,-122.29037,47.712679,21,18,0,0,Cedar Park/Meadowbrook,0.5384615384615384,0.4615384615384616,0.0,0.0,1569,556075,96687
39,39,-122.300151,47.59575200000001,32,24,1,0,Madrona/Leschi,0.5614035087719298,0.42105263157894735,0.017543859649122806,0.0,1549,714750,121549
40,40,-122.36814199999999,47.67661,45,78,2,0,Whittier Heights,0.36,0.624,0.016,0.0,1519,604400,100023
41,41,-122.29571599999998,47.589794,27,21,1,0,Mt. Baker/North Rainier,0.5510204081632653,0.42857142857142855,0.020408163265306117,0.0,928,695600,100714
42,42,-122.361911,47.709278999999995,13,13,0,0,Broadview/Bitter Lake,0.5,0.5,0.0,0.0,1283,484400,77688
43,43,-122.32690900000001,47.703487,29,19,0,0,Northgate/Maple Leaf,0.6041666666666666,0.3958333333333333,0.0,0.0,1527,419566,72493
44,44,-122.385116,47.649807,17,24,1,0,Interbay,0.4047619047619048,0.5714285714285714,0.023809523809523808,0.0,1490,571300,74679
45,45,-122.396934,47.699283,4,2,1,0,North Beach/Blue Ridge,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,1476,658600,94804
46,46,-122.29673999999999,47.611044,37,43,4,0,Central Area/Squire Park,0.4404761904761905,0.5119047619047619,0.047619047619047616,0.0,1401,517525,88722
47,47,-122.300402,47.590825,39,20,1,0,Mt. Baker/North Rainier,0.65,0.3333333333333333,0.016666666666666666,0.0,928,695600,100714
48,48,-122.336004,47.589016,38,52,1,0,Duwamish/SODO,0.4175824175824176,0.5714285714285714,0.01098901098901099,0.0,1445,448800,74696
49,49,-122.28686699999999,47.631125,5,18,4,0,Madison Park,0.1851851851851852,0.6666666666666666,0.14814814814814814,0.0,1563,1369700,134811
50,50,-122.27747600000001,47.569212,15,32,1,0,Columbia City,0.3125,0.6666666666666666,0.020833333333333332,0.0,1142,408600,58972
51,51,-122.289418,47.672707,30,45,3,0,Ravenna/Bryant,0.38461538461538464,0.5769230769230769,0.038461538461538464,0.0,1503,628160,92464
