neighborhood,area,population,median_income,median_rent,avg_house_value
Adams,0.891,10740.0,84991.0,1230.0,577048.0
Alki,0.839,5015.0,101227.0,1158.0,573921.0
Allentown,2.721,9440.0,56620.0,1011.0,260946.0
Arbor Heights,1.021,10313.0,95827.0,1285.0,439699.0
Atlantic,0.753,11055.0,55019.0,1116.0,696416.0
Ballard,4.03,48115.0,93255.0,1337.0,526635.0
Belltown,0.51,9685.0,82054.0,1237.0,447348.0
Bitter Lake,0.986,10471.0,51726.0,900.0,337210.0
Briarcliff,1.015,4787.0,144871.0,2151.0,791637.0
Brighton,0.661,9765.0,59838.0,942.0,322484.0
Broadview,1.716,7548.0,87127.0,1040.0,619260.0
Broadway,1.067,19109.0,81163.0,1264.0,1125847.0
Bryant,0.532,7675.0,121876.0,1628.0,650795.0
Bryn Mawr,0.544,3414.0,72275.0,1275.0,375306.0
CBD,0.314,4657.0,75090.0,1131.0,785504.0
Capitol Hill,3.969,45253.0,100145.0,1347.0,1407145.0
Cascade,1.136,13920.0,91830.0,1580.0,449523.0
Cedar Park,0.721,5881.0,76755.0,943.0,523463.0
Central Area,3.558,48559.0,96733.0,1245.0,1128735.0
Chinatown,0.221,4601.0,34586.0,683.0,277872.0
Columbia City,1.259,13201.0,61771.0,1041.0,334825.0
Crown Hill,0.574,6072.0,94677.0,1575.0,568578.0
Delridge,5.716,28752.0,64829.0,1113.0,355521.0
Downtown,1.93,34753.0,60727.0,1068.0,380310.0
Dunlap,0.708,6512.0,48893.0,787.0,366260.0
Duwamish,1.066,1785.0,54037.0,905.0,263032.0
East Queen Anne,0.654,10482.0,111117.0,1454.0,1015244.0
Eastlake,0.331,2864.0,85974.0,1318.0,
Fairmount Park,0.503,5786.0,83638.0,1146.0,490737.0
Fauntleroy,1.491,4318.0,96276.0,1306.0,585413.0
First Hill,0.334,9328.0,50155.0,1168.0,380310.0
Foster,4.381,20021.0,52298.0,919.0,260542.0
Fremont,0.958,14281.0,82855.0,1277.0,615605.0
Gatewood,0.764,7682.0,96778.0,1162.0,543496.0
Genesee,0.758,8342.0,83940.0,1048.0,505891.0
Georgetown,2.694,1612.0,61161.0,761.0,298357.0
Green Lake,1.692,12126.0,102667.0,1429.0,811570.0
Greenwood,1.498,22286.0,85155.0,1139.0,407151.0
Haller Lake,1.677,9036.0,59060.0,1167.0,457442.0
Harbor Island,0.638,231.0,71758.0,1105.0,
Harrison,0.524,4289.0,174126.0,1222.0,1799695.0
High Point,0.835,8374.0,77421.0,1285.0,358425.0
Highland Park,1.419,7967.0,54037.0,1011.0,356960.0
Holly Park,0.296,,,,
Industrial District,4.529,1848.0,86661.0,1377.0,238530.0
Interbay,1.382,5125.0,92254.0,1262.0,626617.0
Lake City,4.106,32296.0,85055.0,1110.0,494860.0
Lakeridge,0.697,3562.0,82261.0,1347.0,298355.0
Laurelhurst,0.845,4926.0,138038.0,1429.0,1455978.0
Lawton Park,2.11,8036.0,101750.0,1276.0,719797.0
