OBJECTID,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,NEIGHDIST,AREA_SQMI,DISPLAY_NAME,TOTAL_POPULATION,MEDIAN_AGE,HOUSEHOLDS,FAMILY_HOUSEHOLDS,PCT_FAM_HH,NONFAMILY_HOUSEHOLDS,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,PCT_OCC_HU,VACANT_HOUSING_UNITS,PCT_VACANT_HU,OWNER_OCCUPIED_HOUSING_UNITS,PCT_OWN_OCC_HU,RENTER_OCCUPIED_HOUSING_UNITS,PCT_RENT_OCC_HU,MEDIAN_GROSS_RENT,RENT_GRAPI_COMPUTED,PERCENT_UNEMPLOYED,POP_DENSITY_ACRE,HU_DENSITY_ACRE,HH_DENSITY_ACRE,SHAPE_Area,PCT_ALL_FAMILY_UNDER_POVERTY,PCT_POPULATION_UNDER_POVERTY,HU_VALUE_MEDIAN_DOLLARS,AVERAGE_HOUSEHOLD_SIZE,CIVILIAN_LABOR_FORCE_UNEMPLOYD,CIVILIAN_LABOR_FORCE,CIVILIAN_LABOR_FORCE_EMPLOYED,NOT_IN_LABOR_FORCE,MEDIAN_HH_INC_PAST_12MO_DOLLAR
1,10.4,10,Ballard,"Ballard, West Woodland, Adams",Ballard,0.77,CRA - Ballard,8649,34.300000000000004,5328,1417,26.6,3911,5580,5328,95.5,252,4.5,1456,27.3,3872,72.7,1542,3689,5.1000000000000005,17.55,11.32,10.81,21472310.568222445,0.0,7.0,543200,1.62,324,6313,5989,1736,79162
2,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",Ballard,2.0100000000000002,CRA - North Beach-Blue Ridge,12701,42.6,5309,3200,60.300000000000004,2109,5532,5309,96.0,223,4.0,3850,72.5,1459,27.5,1476,1418,3.4,9.89,4.3100000000000005,4.13,55950011.02551156,6.6000000000000005,7.8,658600,2.38,268,7787,7519,2666,94804
3,7.1000000000000005,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",Northeast,1.49,CRA - Montlake-Portage Bay,9732,37.300000000000004,4635,2355,50.800000000000004,2280,4831,4635,95.9,196,4.1,2638,56.9,1997,43.1,1723,1932,1.7,10.23,5.08,4.87,41429077.48623392,2.0,4.6000000000000005,821250,2.09,110,6518,6408,1941,132573
4,12.200000000000001,12,Interbay,Interbay,Magnolia/Queen Anne,1.9000000000000001,CRA - Interbay,11024,34.4,5616,1955,34.800000000000004,3661,6114,5616,91.9,498,8.1,2053,36.6,3563,63.4,1490,3456,4.2,9.08,5.03,4.62,52907762.84354407,4.5,8.700000000000001,571300,1.92,334,7885,7551,1675,74679
5,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",East,0.44,CRA - North Capitol Hill,4807,36.1,2481,1011,40.7,1470,2599,2481,95.5,118,4.5,1124,45.300000000000004,1357,54.7,1576,1357,4.4,16.94,9.16,8.75,12356839.9215201,1.2,2.3000000000000003,896200,1.93,149,3415,3266,759,96220
6,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",East,0.67,CRA - Capitol Hill,23837,31.6,16044,2701,16.8,13343,17090,16044,93.9,1046,6.1000000000000005,2837,17.7,13207,82.3,1336,12731,2.4,55.89,40.07,37.62,18579973.377085302,7.3,14.0,355675,1.47,451,18997,18546,3803,58476
7,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",Northeast,2.35,CRA - Wedgwood-View Ridge,16188,41.1,6588,4467,67.8,2121,6906,6588,95.4,318,4.6000000000000005,4931,74.8,1657,25.2,1596,1578,4.2,10.77,4.6000000000000005,4.38,65452932.659058936,3.1,5.6000000000000005,628275,2.44,388,9259,8871,3734,114723
8,10.200000000000001,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",Ballard,1.08,CRA - Whittier Heights,12927,36.7,5909,2888,48.9,3021,6118,5909,96.60000000000001,209,3.4,3513,59.5,2396,40.5,1519,2375,4.0,18.77,8.88,8.58,29997852.13897467,1.7,5.1000000000000005,604400,2.18,347,8737,8390,1973,100023
9,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",Delridge Neighborhoods,2.5100000000000002,CRA - North Delridge,5675,36.7,2858,1412,49.4,1446,2978,2858,96.0,120,4.0,1478,51.7,1380,48.300000000000004,1305,1380,7.1000000000000005,3.5300000000000002,1.85,1.78,69994939.18315138,8.1,8.700000000000001,368300,1.98,282,3992,3710,913,75000
10,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",Northwest,2.31,CRA - Broadview-Bitter Lake,15073,46.300000000000004,7448,3340,44.800000000000004,4108,7913,7448,94.10000000000001,465,5.9,3173,42.6,4275,57.4,1283,4114,4.0,10.19,5.3500000000000005,5.04,64401922.35569068,8.0,13.4,484400,1.97,329,8222,7893,5076,77688
11,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",Delridge Neighborhoods,1.53,CRA - Roxhill-Westwood,13045,37.1,5715,3174,55.5,2541,6078,5715,94.0,363,6.0,3225,56.4,2490,43.6,1238,2355,6.5,13.33,6.21,5.84,42622650.627968766,9.200000000000001,11.700000000000001,347433,2.2800000000000002,528,8176,7648,2604,67722
12,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",Northeast,2.19,CRA - Laurelhurst-Sand Point,11118,38.7,4272,2958,69.2,1314,4496,4272,95.0,224,5.0,2891,67.7,1381,32.3,1316,1198,3.9,7.92,3.2,3.04,61143162.55355154,3.1,8.700000000000001,908950,2.5500000000000003,212,5492,5280,3058,122332
13,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",Southeast,2.13,CRA - Rainier Beach,16012,37.800000000000004,5460,3758,68.8,1702,5891,5460,92.7,431,7.3,3302,60.5,2158,39.5,1178,2036,7.5,11.75,4.32,4.01,59374855.14288,16.0,20.6,357550,2.9,660,8769,8109,3869,67933
14,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",Greater Duwamish,2.42,CRA - South Beacon Hill-New Holly,15333,37.9,4761,3271,68.7,1490,4982,4761,95.60000000000001,221,4.4,2653,55.7,2108,44.300000000000004,1045,1942,7.4,9.9,3.22,3.0700000000000003,67496709.78365564,24.0,29.8,344366,3.17,523,7066,6543,4751,51655
15,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",North,1.79,CRA - Northgate-Maple Leaf,15615,35.4,7713,3145,40.800000000000004,4568,7893,7713,97.7,180,2.3000000000000003,3278,42.5,4435,57.5,1527,3916,7.3,13.620000000000001,6.88,6.73,49941666.29722398,9.700000000000001,15.3,419566,1.99,675,9253,8578,4293,72493
16,5.1000000000000005,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",Central,1.29,CRA - Madrona-Leschi,11604,39.9,4671,2877,61.6,1794,4842,4671,96.5,171,3.5,2778,59.5,1893,40.5,1549,1763,2.5,14.030000000000001,5.8500000000000005,5.65,36024341.26841711,6.1000000000000005,9.6,714750,2.44,175,6870,6695,2780,121549
17,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",Northwest,2.08,CRA - Green Lake,16460,34.6,7451,3166,42.5,4285,7768,7451,95.9,317,4.1,3702,49.7,3749,50.300000000000004,1804,3379,2.8000000000000003,12.38,5.84,5.6000000000000005,57934789.28268267,4.2,10.8,688066,2.2,295,10656,10361,3473,105587
18,3.2,3,Georgetown,Georgetown,Greater Duwamish,1.85,CRA - Georgetown,1045,41.0,620,184,29.7,436,697,620,89.0,77,11.0,299,48.2,321,51.800000000000004,988,307,6.8,0.88,0.59,0.52,51570826.041074336,0.0,7.8,341900,1.69,56,827,771,154,58611
19,2.2,2,High Point,"High Point, Delridge",Delridge Neighborhoods,0.86,CRA - High Point,8336,32.5,3025,1920,63.5,1105,3223,3025,93.9,198,6.1000000000000005,1208,39.9,1817,60.1,844,1771,11.700000000000001,15.07,5.83,5.47,24096694.21277312,28.3,29.3,374450,2.74,491,4185,3694,1834,52121
20,7.2,7,University District,"University District, Cowen Park, Ravenna",Northeast,1.5,CRA - University District,19823,22.2,5677,994,17.5,4683,6210,5677,91.4,533,8.6,722,12.700000000000001,4955,87.3,1199,4500,11.6,20.71,6.49,5.93,41688139.77029112,9.1,44.800000000000004,406150,2.15,1240,10687,9447,8671,29215
21,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",North,2.18,CRA - Olympic Hills-Victory Heights,15618,37.800000000000004,6968,3831,55.0,3137,7398,6968,94.2,430,5.8,3995,57.300000000000004,2973,42.7,1341,2881,4.3,11.21,5.3100000000000005,5.0,60698770.108299874,8.1,11.9,396966,2.22,399,9288,8889,4099,66298
22,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",East,0.87,CRA - Madison Park,5510,45.7,2631,1426,54.2,1205,2886,2631,91.2,255,8.8,1682,63.9,949,36.1,1563,893,4.7,9.86,5.17,4.71,24333969.4950853,2.3000000000000003,4.9,1369700,2.08,136,2885,2749,1870,134811
